zbest_b_[j]	EBV_b_[j]	e_EBV_[j]	E_EBV_[j]	SFR_b_[j]	e_SFR_[j]	E_SFR_[j]	Mstar_b_[j]	e_Mstar_[j]	E_Mstar_[j]	RA_b_[j]	DEC_b_[j]	SDSS_NAME_[i]	RA_[i]	Dec_[i]	REDSHIFT_[i]	LOG_MBH_[i]	LOG_MBH_ERR_[i]	LOG_LBOL_[i]	LOG_REDD_[i]  LE[j]   LSbc[j]
0.8990	0.1995	0.05230000000000001	0.0524	3.890e+01	8.18	8.18	5.160e+11	113600000000.0	113700000000.0	6.27314	25.4595	002505.55+252734.2	6.2731608	25.459505	0.899	8.69222856647988	0.22384093108837505	45.37507429227071	-1.4570333606104067  9.023e+43 5.761e+43
0.8370	0.0000	0.0	0.005	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	6.4985	6.72991	002559.64+064348.0	6.4985186	6.7300077	0.837	8.388919928910525	0.43437194007617064	45.115294592288436	-1.4135044230233265  8.391e+43 7.899e+43
0.8540	0.0144	0.0037	0.0038000000000000013	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	6.7412	5.96263	002657.91+055745.4	6.741308	5.9626307	0.854	8.121285780789808	0.10752789250790838	45.37683244267878	-0.8843324245122626  0.0 7.69e+43
0.8630	0.0798	0.020699999999999996	0.020600000000000007	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	7.04548	26.4196	002810.91+262510.7	7.0454793	26.419643	0.863	7.945847757554125	0.11540371420025669	45.21205335685212	-0.8736734871032452  0.0 0.0
0.8140	0.0126	0.003300000000000001	0.0032000000000000015	1.836e+01	0.5399999999999991	0.5500000000000007	8.770e+10	2340000000.0	2340000000.0	8.47611	0.40765	003354.28+002427.6	8.4761959	0.40767182	0.814	8.515289482108729	0.159833370044148	45.38826352988507	-1.2669050386248932  1.304e+44 0.0
0.8101	0.0156	0.0040999999999999995	0.0040999999999999995	3.463e+01	2.8400000000000034	2.8399999999999963	1.385e+11	41760000000.0	41800000000.0	8.71643	-10.53119	003451.94-103152.1	8.7164099	-10.531169	0.8101	8.275864328343413	0.029465245170114025	45.85246826475653	-0.563275149988119  1.043e+44 2.44e+44
0.8150	0.0927	0.023900000000000005	0.0238	5.880e+00	0.2919999999999998	0.2919999999999998	1.206e+11	67950000000.0	67900000000.0	9.31056	-3.45064	003714.53-032702.5	9.3105839	-3.4507156	0.815	8.307991365343836	0.1550425061955846	45.13415625387717	-1.313714197867901  1.279e+44 1.546e+43
0.8950	0.0138	0.0034999999999999996	0.0034999999999999996	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	9.7417	4.82252	003858.01+044920.8	9.7417237	4.822447	0.895	7.879836774967645	0.2768791616110038	44.98646985140549	-1.033246009963394  7.639e+42 1.34e+44
0.8660	0.0555	0.014600000000000002	0.014599999999999995	8.756e+00	2.622	2.6240000000000006	4.082e+11	133400000000.0	133400000000.0	9.7486	-3.66692	003859.67-034000.7	9.7486445	-3.6668808	0.866	8.744077776322577	0.03986391695034888	45.381399326207024	-1.5025575365167898  0.0 0.0
0.8180	0.0529	0.0138	0.013899999999999996	2.301e+01	1.2700000000000031	1.2699999999999996	1.786e+11	10000000000.0	10100000000.0	10.16103	14.44845	004038.63+142654.4	10.160965	14.448462	0.818	8.451374837777427	0.046955504687144684	45.31135961926378	-1.2798943049148817  0.0 2.735e+44
0.8600	0.0564	0.014600000000000002	0.014599999999999995	1.247e+01	0.15000000000000036	0.1399999999999988	1.130e+11	12900000000.0	12900000000.0	10.26443	11.14403	004103.47+110838.5	10.264463	11.144039	0.86	7.992147818953754	0.1465840261116538	45.38230088311953	-0.7497260222354643  0.0 1.88e+44
0.8145	0.0000	0.0	0.005	6.741e+00	0.1819999999999995	0.18300000000000072	1.382e+11	3700000000.0	3800000000.0	10.35385	-10.71767	004124.92-104303.7	10.353866	-10.717697	0.8145	8.735163387196	0.04538850573961674	45.8929207287487	-0.982121744848538  0.0 2.83e+44
0.8240	0.1117	0.029099999999999987	0.028999999999999998	5.191e+00	0.1200000000000001	0.1200000000000001	2.420e+11	5600000000.0	5600000000.0	10.42497	1.04325	004141.99+010235.7	10.424961	1.0432525	0.824	8.011467558403307	0.09917896434721743	45.15536338127197	-0.9959832635325763  0.0 3.21e+44
0.8860	0.0000	0.0	0.005	0.000e+00	0.0	0.01	1.476e+11	6900000000.0	6900000000.0	10.58911	34.99905	004221.38+345956.6	10.589123	34.999072	0.886	7.9171653446556025	0.13439054475585452	44.96923046860295	-1.087813962453888  6.646e+43 0.0
0.8573	0.0000	0.0	0.005	7.077e+00	2.8920000000000003	2.8919999999999995	5.848e+10	16600000000.0	16600000000.0	10.6098	-1.95503	004226.35-015718.0	10.609807	-1.9550111	0.8573001	8.046441481514698	0.10481221925499092	45.325174483065	-0.8611460848509369  7.932e+43 0.0
0.8160	0.1252	0.03270000000000001	0.03270000000000001	4.084e+01	3.0600000000000023	3.069999999999993	3.148e+11	23600000000.0	23700000000.0	10.8948	6.60068	004334.75+063602.7	10.894828	6.6007602	0.816	8.323596001169047	0.12815798456455343	45.4489963246662	-1.0144787629040872  1.462e+44 8.499e+43
0.8350	0.0306	0.007899999999999997	0.007799999999999998	8.553e+00	0.03700000000000081	0.036999999999999034	7.068e+10	310000000.0	300000000.0	11.50423	2.72103	004601.00+024315.6	11.504169	2.7210206	0.835	8.237817751909613	0.06975997803668202	45.599835226039815	-0.7778616122710356  0.0 1.995e+44
0.8710	0.0717	0.0187	0.018699999999999994	4.158e+01	9.119999999999997	9.120000000000005	3.205e+11	28600000000.0	28600000000.0	11.7759	18.77936	004706.19+184645.7	11.77582	18.779382	0.871	8.892727781410477	0.030582989601481588	45.62247459953539	-1.4101322682763267  0.0 1.67e+44
0.8350	0.0088	0.002300000000000001	0.0023	1.592e+01	2.1799999999999997	2.1800000000000015	4.183e+11	227900000000.0	227800000000.0	11.84049	30.91313	004721.70+305447.1	11.840442	30.913116	0.835	7.862450106410142	0.2860784339817103	45.57582713163003	-0.42650206118135103  0.0 2.136e+44
0.8640	0.0515	0.0133	0.0133	1.578e+01	4.75	4.74	1.282e+11	34690000000.0	34700000000.0	11.88383	23.19295	004732.13+231134.6	11.883903	23.192968	0.864	8.51072764219682	0.05464817314437062	45.30903074535896	-1.3415759832390963  1.212e+44 1.444e+44
0.8300	0.0000	0.0	0.005	6.462e+00	0.8069999999999995	0.806	1.698e+11	21200000000.0	21200000000.0	11.9559	30.11829	004749.40+300705.8	11.955881	30.118294	0.83	8.703011096331185	0.02822291010293511	45.37862123733607	-1.4642689453963522  1.18e+44 2.828e+44
0.8023	0.0115	0.0031000000000000003	0.003000000000000001	1.596e+00	0.377	0.3759999999999999	4.810e+11	118500000000.0	118600000000.0	12.10215	-10.28616	004824.51-101710.2	12.102093	-10.286167	0.8023	8.27733536510136	0.13784253070285352	46.08839242518848	-0.32882202631411606  6.189e+41 2.829e+44
0.8460	0.0000	0.0	0.005	2.759e+00	0.06199999999999983	0.06200000000000028	2.404e+11	5400000000.0	5400000000.0	13.73201	25.37866	005455.70+252242.8	13.732093	25.378577	0.846	7.517927504916086	0.4643681052071212	45.20497508843589	-0.4528315028814359  1.518e+43 5.032e+44
0.8140	0.0000	0.0	0.005	7.702e+00	0.4900000000000002	0.49099999999999966	6.981e+10	26670000000.0	26660000000.0	13.85153	16.04775	005524.38+160251.8	13.851608	16.047724	0.814	8.46160720937786	0.05887508981537316	45.35350828303438	-1.2479780127447173  1.237e+44 2.331e+43
0.8090	0.1685	0.044300000000000006	0.04429999999999998	2.441e+01	3.1499999999999986	3.1499999999999986	2.146e+11	39000000000.0	38900000000.0	14.20205	-4.39011	005648.49-042324.3	14.202078	-4.3900941	0.809	8.759702786161434	0.05521414268996799	45.66495758580423	-1.2346242867584396  0.0 7.839e+43
0.8840	0.0467	0.012499999999999997	0.012500000000000004	5.147e+01	0.9499999999999957	0.9600000000000009	1.024e+12	19000000000.0	19000000000.0	14.32455	22.05582	005717.89+220320.8	14.324541	22.055797	0.884	8.949521130359905	0.027380799514378152	46.12935114093363	-0.960049075827513  0.0 9.45e+44
0.8160	0.0487	0.012900000000000002	0.012799999999999999	1.745e+01	0.3099999999999987	0.3100000000000023	1.442e+11	2600000000.0	2500000000.0	14.50774	20.74525	005801.85+204442.6	14.507734	20.745195	0.816	8.59745707498762	0.06723478129670886	45.669367410848324	-1.0679687505405335  0.0 4.159e+44
0.8180	0.1259	0.033500000000000016	0.033399999999999985	4.567e+00	0.07399999999999984	0.07399999999999984	6.089e+11	9900000000.0	9900000000.0	15.51497	33.85008	010203.58+335100.4	15.514943	33.850131	0.818	8.419834748319127	0.12632422831630244	45.623905278152556	-0.9358085565678086  5.366e+43 2.257e+44
0.8030	0.0274	0.007100000000000002	0.007199999999999998	3.772e+01	7.129999999999999	7.1200000000000045	2.907e+11	64100000000.0	64200000000.0	15.9661	12.55531	010351.86+123318.8	15.966107	12.555257	0.803	8.801184378613561	0.07296428016603805	45.481160982637256	-1.4599024823775422  0.0 1.066e+45
0.8070	0.0000	0.0	0.005	4.433e+00	0.06299999999999972	0.06400000000000006	1.165e+11	1700000000.0	1700000000.0	16.574	33.79591	010617.76+334745.2	16.57402	33.795912	0.807	8.573828983354995	0.10526351795743702	45.118166967138215	-1.5955411026180164  0.0 1.761e+45
0.8881	0.0067	0.0017000000000000001	0.0015999999999999999	5.702e+00	13.702	13.708	4.712e+10	22070000000.0	22070000000.0	16.68889	23.70697	010645.32+234225.1	16.688868	23.706986	0.8880994	8.336253703563164	0.08364942468857868	45.423126951190696	-1.0530058387737056  1.543e+45 7.147e+44
0.8540	0.3162	0.08459999999999998	0.08460000000000001	1.147e+00	0.04400000000000004	0.04400000000000004	8.957e+11	201300000000.0	201300000000.0	16.86898	-4.57492	010728.55-043429.7	16.868985	-4.5749241	0.854	8.152588759290811	0.06172024667023815	45.478542408511345	-0.8139254371807036  2.078e+45 1.812e+45
0.8080	0.0366	0.0097	0.0097	7.883e+00	0.2060000000000004	0.20499999999999918	1.603e+11	4200000000.0	4100000000.0	17.85627	2.85642	011125.51+025123.1	17.856294	2.8564412	0.808	8.311509561431391	0.07055799036023673	45.97121687089554	-0.4801717769370894  2.037e+44 0.0
0.8943	0.0164	0.004200000000000001	0.004199999999999999	1.963e+01	0.05999999999999872	0.060000000000002274	1.524e+11	600000000.0	600000000.0	17.89234	21.53967	011134.17+213222.9	17.892383	21.53972	0.8942994	8.563611962152363	0.08147912584274919	45.275117602977694	-1.4283734455759056  0.0 7.182e+45
0.8270	0.0158	0.004100000000000001	0.004199999999999999	3.269e+01	2.679999999999996	2.690000000000005	4.373e+11	116700000000.0	116600000000.0	19.81669	26.30474	011915.99+261817.1	19.816654	26.304747	0.827	8.558242219938979	0.04271991769987076	45.56981046865988	-1.128310837680335  0.0 1.134e+45
