zbest_b_[j]	EBV_b_[j]	e_EBV_[j]	E_EBV_[j]	SFR_b_[j]	e_SFR_[j]	E_SFR_[j]	Mstar_b_[j]	e_Mstar_[j]	E_Mstar_[j]	RA_b_[j]	DEC_b_[j]	SDSS_NAME_[i]	RA_[i]	Dec_[i]	REDSHIFT_[i]	LOG_MBH_[i]	LOG_MBH_ERR_[i]	LOG_LBOL_[i]	LOG_REDD_[i] 
0.8842	0.0316	0.0234	0.0398	6.248e+00	5.841e+00	6.655e+00	2.938e+11	2.746e+11	3.129e+11	0.46498	23.48271	000151.58+232857.6	0.46495295	23.482683	0.8842006	8.545817968516154	0.03850872062016359	45.44675995192183	-1.2389371029955643
0.8549	0.1000	0.0735	0.1265	0.000e+00	0.000e+00	1.000e-02	3.659e+09	3.590e+09	3.728e+09	2.38224	27.15848	000931.73+270930.4	2.3822292	27.158469	0.8548997	8.127430435958624	0.08052361341128661	45.627385111840205	-0.6399244105196563
0.8890	0.0392	0.0291	0.0493	1.798e+01	-1.897e+01	5.493e+01	1.486e+11	1.231e+11	1.740e+11	2.55427	-8.53789	001013.02-083216.3	2.5542493	-8.5378854	0.889	7.737290432369962	0.32782368175407584	45.61704083396642	-0.26012868480477824
0.8220	0.0794	0.0587	0.1002	0.000e+00	0.000e+00	1.000e-02	2.231e+11	2.027e+11	2.434e+11	2.78378	8.22364	001108.09+081325.1	2.7837389	8.2236434	0.822	8.762528378276325	0.01913299429940241	45.18036885342762	-1.7220386112499393
0.8580	0.0631	0.0468	0.0794	1.803e+01	1.548e+01	2.057e+01	8.427e+10	7.195e+10	9.659e+10	3.33409	5.91396	001320.19+055450.5	3.3341351	5.9140151	0.858	8.424328684061589	0.17505155913469292	45.46074592684348	-1.1034618436193464
0.8610	0.0268	0.0198	0.0337	4.359e+00	4.094e+00	4.624e+00	2.050e+11	1.925e+11	2.174e+11	3.64822	23.10607	001435.57+230621.7	3.6482406	23.106048	0.861	8.469949129836174	0.10044260522564072	45.42984580631384	-1.179982409923568
0.8999	0.1090	0.0806	0.1375	2.345e+01	2.268e+01	2.423e+01	4.808e+11	4.649e+11	4.968e+11	3.97237	19.90179	001553.35+195406.4	3.9723144	19.901793	0.8999009	7.835474041519289	0.03847561557484855	45.52019856113599	-0.4551545667845343
0.8225	0.0226	0.0166	0.0286	1.933e+01	1.627e+01	2.238e+01	2.585e+11	1.388e+11	3.782e+11	4.13621	4.2195	001632.69+041310.3	4.1362255	4.2195283	0.8224992	8.29063144047253	0.12878774945663726	45.809470668661255	-0.6210398582125125
0.8750	0.1953	0.1449	0.2458	1.994e+01	1.810e+01	2.178e+01	9.322e+10	8.414e+10	1.023e+11	4.34647	8.55846	001723.14+083330.2	4.3464194	8.5584092	0.875	8.270413188177827	0.03823504404244025	45.4993835880309	-0.9109086865481617
0.8270	0.0759	0.0561	0.0957	1.334e+01	1.290e+01	1.378e+01	2.711e+11	2.622e+11	2.801e+11	4.50964	-8.25868	001802.31-081531.2	4.509671	-8.2586748	0.827	8.731195886103032	0.06223386311093356	45.2831403314637	-1.5879346410405708
0.8050	0.0398	0.0294	0.0502	2.775e+01	2.773e+01	2.777e+01	2.154e+11	2.152e+11	2.156e+11	4.85448	23.99805	001925.08+235952.9	4.8545273	23.998053	0.805	7.991514712260061	0.11705592827614085	45.51423866971578	-0.6171551289455178
0.8370	0.0916	0.0679	0.1152	2.186e+01	1.876e+01	2.495e+01	1.044e+11	8.871e+10	1.201e+11	5.02107	16.08772	002005.04+160515.7	5.0210119	16.087718	0.837	8.63990611373489	0.07794419327530257	45.3339121153108	-1.4458730848253245
0.8240	0.0000	0.0000	0.0050	4.843e+00	4.522e+00	5.165e+00	2.277e+11	2.126e+11	2.429e+11	5.54956	26.1681	002211.91+261005.4	5.5496415	26.16818	0.824	8.529318236773777	0.06405064086614388	45.18012557573126	-1.4890717474437543
0.8237	0.1676	0.1234	0.2118	7.552e+00	7.439e+00	7.664e+00	6.637e+11	6.538e+11	6.735e+11	6.02954	1.10622	002407.07+010622.3	6.0294998	1.1062044	0.8237	8.786160641781096	0.05674144831370502	45.244800250585634	-1.6812394775966997
0.8990	0.1995	0.1472	0.2519	3.890e+01	3.072e+01	4.708e+01	5.160e+11	4.024e+11	6.297e+11	6.27314	25.4595	002505.55+252734.2	6.2731608	25.459505	0.899	8.69222856647988	0.22384093108837505	45.37507429227071	-1.4570333606104067
0.8140	0.0126	0.0093	0.0158	1.836e+01	1.782e+01	1.891e+01	8.770e+10	8.536e+10	9.004e+10	8.47611	0.40765	003354.28+002427.6	8.4761959	0.40767182	0.814	8.515289482108729	0.159833370044148	45.38826352988507	-1.2669050386248932
0.8101	0.0156	0.0115	0.0197	3.463e+01	3.179e+01	3.747e+01	1.385e+11	9.674e+10	1.803e+11	8.71643	-10.53119	003451.94-103152.1	8.7164099	-10.531169	0.8101	8.275864328343413	0.029465245170114025	45.85246826475653	-0.563275149988119
0.8150	0.0927	0.0688	0.1165	5.880e+00	5.588e+00	6.172e+00	1.206e+11	5.265e+10	1.885e+11	9.31056	-3.45064	003714.53-032702.5	9.3105839	-3.4507156	0.815	8.307991365343836	0.1550425061955846	45.13415625387717	-1.313714197867901
0.8660	0.0555	0.0409	0.0701	8.756e+00	6.134e+00	1.138e+01	4.082e+11	2.748e+11	5.416e+11	9.7486	-3.66692	003859.67-034000.7	9.7486445	-3.6668808	0.866	8.744077776322577	0.03986391695034888	45.381399326207024	-1.5025575365167898
0.8180	0.0529	0.0391	0.0668	2.301e+01	2.174e+01	2.428e+01	1.786e+11	1.686e+11	1.887e+11	10.16103	14.44845	004038.63+142654.4	10.160965	14.448462	0.818	8.451374837777427	0.046955504687144684	45.31135961926378	-1.2798943049148817
0.8600	0.0564	0.0418	0.0710	1.247e+01	1.232e+01	1.261e+01	1.130e+11	1.001e+11	1.259e+11	10.26443	11.14403	004103.47+110838.5	10.264463	11.144039	0.86	7.992147818953754	0.1465840261116538	45.38230088311953	-0.7497260222354643
0.8145	0.0000	0.0000	0.0050	6.741e+00	6.559e+00	6.924e+00	1.382e+11	1.345e+11	1.420e+11	10.35385	-10.71767	004124.92-104303.7	10.353866	-10.717697	0.8145	8.735163387196	0.04538850573961674	45.8929207287487	-0.982121744848538
0.8240	0.1117	0.0826	0.1407	5.191e+00	5.071e+00	5.311e+00	2.420e+11	2.364e+11	2.476e+11	10.42497	1.04325	004141.99+010235.7	10.424961	1.0432525	0.824	8.011467558403307	0.09917896434721743	45.15536338127197	-0.9959832635325763
0.8860	0.0000	0.0000	0.0050	0.000e+00	0.000e+00	1.000e-02	1.476e+11	1.407e+11	1.545e+11	10.58911	34.99905	004221.38+345956.6	10.589123	34.999072	0.886	7.9171653446556025	0.13439054475585452	44.96923046860295	-1.087813962453888
0.8573	0.0000	0.0000	0.0050	7.077e+00	4.185e+00	9.969e+00	5.848e+10	4.188e+10	7.508e+10	10.6098	-1.95503	004226.35-015718.0	10.609807	-1.9550111	0.8573001	8.046441481514698	0.10481221925499092	45.325174483065	-0.8611460848509369
