zbest_b_[j]	EBV_b_[j]	e_EBV_[j]	E_EBV_[j]	SFR_b_[j]	e_SFR_[j]	E_SFR_[j]	Mstar_b_[j]	e_Mstar_[j]	E_Mstar_[j]	RA_b_[j]	DEC_b_[j]	SDSS_NAME_[i]	RA_[i]	Dec_[i]	REDSHIFT_[i]	LOG_MBH_[i]	LOG_MBH_ERR_[i]	LOG_LBOL_[i]	LOG_REDD_[i] 
0.8225	0.0226	0.0166	0.0286	1.933e+01	1.627e+01	2.238e+01	2.585e+11	1.388e+11	3.782e+11	4.13621	4.2195	001632.69+041310.3	4.1362255	4.2195283	0.8224992	8.29063144047253	0.12878774945663726	45.809470668661255	-0.6210398582125125
0.8990	0.1995	0.1472	0.2519	3.890e+01	3.072e+01	4.708e+01	5.160e+11	4.024e+11	6.297e+11	6.27314	25.4595	002505.55+252734.2	6.2731608	25.459505	0.899	8.69222856647988	0.22384093108837505	45.37507429227071	-1.4570333606104067
0.8101	0.0156	0.0115	0.0197	3.463e+01	3.179e+01	3.747e+01	1.385e+11	9.674e+10	1.803e+11	8.71643	-10.53119	003451.94-103152.1	8.7164099	-10.531169	0.8101	8.275864328343413	0.029465245170114025	45.85246826475653	-0.563275149988119
0.8150	0.0927	0.0688	0.1165	5.880e+00	5.588e+00	6.172e+00	1.206e+11	5.265e+10	1.885e+11	9.31056	-3.45064	003714.53-032702.5	9.3105839	-3.4507156	0.815	8.307991365343836	0.1550425061955846	45.13415625387717	-1.313714197867901
0.8660	0.0555	0.0409	0.0701	8.756e+00	6.134e+00	1.138e+01	4.082e+11	2.748e+11	5.416e+11	9.7486	-3.66692	003859.67-034000.7	9.7486445	-3.6668808	0.866	8.744077776322577	0.03986391695034888	45.381399326207024	-1.5025575365167898
0.8573	0.0000	0.0000	0.0050	7.077e+00	4.185e+00	9.969e+00	5.848e+10	4.188e+10	7.508e+10	10.6098	-1.95503	004226.35-015718.0	10.609807	-1.9550111	0.8573001	8.046441481514698	0.10481221925499092	45.325174483065	-0.8611460848509369
0.8350	0.0088	0.0065	0.0111	1.592e+01	1.374e+01	1.810e+01	4.183e+11	1.904e+11	6.461e+11	11.84049	30.91313	004721.70+305447.1	11.840442	30.913116	0.835	7.862450106410142	0.2860784339817103	45.57582713163003	-0.42650206118135103
0.8640	0.0515	0.0382	0.0648	1.578e+01	1.103e+01	2.052e+01	1.282e+11	9.351e+10	1.629e+11	11.88383	23.19295	004732.13+231134.6	11.883903	23.192968	0.864	8.51072764219682	0.05464817314437062	45.30903074535896	-1.3415759832390963
0.8023	0.0115	0.0084	0.0145	1.596e+00	1.219e+00	1.972e+00	4.810e+11	3.625e+11	5.996e+11	12.10215	-10.28616	004824.51-101710.2	12.102093	-10.286167	0.8023	8.27733536510136	0.13784253070285352	46.08839242518848	-0.32882202631411606
0.8140	0.0000	0.0000	0.0050	7.702e+00	7.212e+00	8.193e+00	6.981e+10	4.314e+10	9.647e+10	13.85153	16.04775	005524.38+160251.8	13.851608	16.047724	0.814	8.46160720937786	0.05887508981537316	45.35350828303438	-1.2479780127447173
